comparison,item,direct_count,group_count,combined_count,direct_per_1000_tokens,group_per_1000_tokens,difference_direct_minus_group_per_1000,log_ratio_direct_vs_group,log_likelihood_g2,dominant_modality,direct_tokens_denominator,group_tokens_denominator
direct_vs_group_psychosomatic,bin,205,88,293,2.3237,1.116,1.2077,1.0534,35.8342,direct,88221,78851
direct_vs_group_psychosomatic,sehen,98,27,125,1.1108,0.3424,0.7684,1.6787,35.2587,direct,88221,78851
direct_vs_group_psychosomatic,beteiligt,0,23,23,0.0,0.2917,-0.2917,-5.7166,34.5398,group,88221,78851
direct_vs_group_psychosomatic,magst,27,0,27,0.306,0.0,0.306,5.6194,34.4833,direct,88221,78851
direct_vs_group_psychosomatic,Beschwerden,4,37,41,0.0453,0.4692,-0.4239,-3.2209,34.458,group,88221,78851
direct_vs_group_psychosomatic,habe,722,456,1178,8.184,5.7831,2.4009,0.5004,34.4289,direct,88221,78851
direct_vs_group_psychosomatic,zurückhaltend,2,31,33,0.0227,0.3931,-0.3705,-3.8173,34.0182,group,88221,78851
direct_vs_group_psychosomatic,hatte,222,101,323,2.5164,1.2809,1.2355,0.9703,33.8838,direct,88221,78851
direct_vs_group_psychosomatic,klinisch,0,22,22,0.0,0.279,-0.279,-5.6538,33.0381,group,88221,78851
direct_vs_group_psychosomatic,lg,31,1,32,0.3514,0.0127,0.3387,4.2303,32.1938,direct,88221,78851
direct_vs_group_psychosomatic,eigentlich,78,19,97,0.8841,0.241,0.6432,1.8472,32.1926,direct,88221,78851
direct_vs_group_psychosomatic,nachher,35,2,37,0.3967,0.0254,0.3714,3.6658,32.1431,direct,88221,78851
direct_vs_group_psychosomatic,außer,8,44,52,0.0907,0.558,-0.4673,-2.5503,31.6438,group,88221,78851
direct_vs_group_psychosomatic,könne,8,44,52,0.0907,0.558,-0.4673,-2.5503,31.6438,group,88221,78851
direct_vs_group_psychosomatic,glaube,64,13,77,0.7255,0.1649,0.5606,2.0943,31.3404,direct,88221,78851
direct_vs_group_psychosomatic,gar,52,8,60,0.5894,0.1015,0.488,2.4648,31.3052,direct,88221,78851
direct_vs_group_psychosomatic,oder,299,156,455,3.3892,1.9784,1.4108,0.7744,31.0903,direct,88221,78851
direct_vs_group_psychosomatic,könntest,100,31,131,1.1335,0.3931,0.7404,1.5118,30.9091,direct,88221,78851
direct_vs_group_psychosomatic,nochmal,291,151,442,3.2985,1.915,1.3835,0.7822,30.7894,direct,88221,78851
direct_vs_group_psychosomatic,2,95,170,265,1.0768,2.156,-1.0791,-0.9982,30.7755,group,88221,78851
direct_vs_group_psychosomatic,sei,78,148,226,0.8841,1.877,-0.9928,-1.0817,30.614,group,88221,78851
direct_vs_group_psychosomatic,Kontrolle,17,60,77,0.1927,0.7609,-0.5682,-1.9516,30.5201,group,88221,78851
direct_vs_group_psychosomatic,distanziert,1,25,26,0.0113,0.3171,-0.3057,-4.2495,30.3432,group,88221,78851
direct_vs_group_psychosomatic,&,5,36,41,0.0567,0.4566,-0.3999,-2.8924,30.0429,group,88221,78851
direct_vs_group_psychosomatic,Austausch,5,36,41,0.0567,0.4566,-0.3999,-2.8924,30.0429,group,88221,78851
direct_vs_group_psychosomatic,Anwesenheit,2,28,30,0.0227,0.3551,-0.3324,-3.673,29.9069,group,88221,78851
direct_vs_group_psychosomatic,schreiben,55,10,65,0.6234,0.1268,0.4966,2.2401,29.4491,direct,88221,78851
direct_vs_group_psychosomatic,kein,68,132,200,0.7708,1.674,-0.9033,-1.1138,28.661,group,88221,78851
direct_vs_group_psychosomatic,irgendwie,32,2,34,0.3627,0.0254,0.3374,3.5384,28.6597,direct,88221,78851
direct_vs_group_psychosomatic,VP,0,19,19,0.0,0.241,-0.241,-5.4474,28.5329,group,88221,78851
direct_vs_group_psychosomatic,Sa,7,39,46,0.0793,0.4946,-0.4153,-2.5589,28.2731,group,88221,78851
direct_vs_group_psychosomatic,wolle,7,39,46,0.0793,0.4946,-0.4153,-2.5589,28.2731,group,88221,78851
direct_vs_group_psychosomatic,alles,117,43,160,1.3262,0.5453,0.7809,1.2716,27.7583,direct,88221,78851
direct_vs_group_psychosomatic,Aber,53,10,63,0.6008,0.1268,0.4739,2.1872,27.5744,direct,88221,78851
direct_vs_group_psychosomatic,große,5,34,39,0.0567,0.4312,-0.3745,-2.8111,27.5737,group,88221,78851
direct_vs_group_psychosomatic,Ah,34,3,37,0.3854,0.038,0.3473,3.1392,27.1049,direct,88221,78851
direct_vs_group_psychosomatic,Anwesend,0,18,18,0.0,0.2283,-0.2283,-5.3714,27.0311,group,88221,78851
direct_vs_group_psychosomatic,von,495,605,1100,5.6109,7.6727,-2.0618,-0.4512,26.8351,group,88221,78851
direct_vs_group_psychosomatic,Dich,21,0,21,0.238,0.0,0.238,5.2643,26.8204,direct,88221,78851
direct_vs_group_psychosomatic,ne,21,0,21,0.238,0.0,0.238,5.2643,26.8204,direct,88221,78851
direct_vs_group_psychosomatic,Briefe,30,2,32,0.3401,0.0254,0.3147,3.4468,26.3556,direct,88221,78851
direct_vs_group_psychosomatic,PCR,28,73,101,0.3174,0.9258,-0.6084,-1.5288,26.1429,group,88221,78851
direct_vs_group_psychosomatic,Studie,49,9,58,0.5554,0.1141,0.4413,2.2194,26.0334,direct,88221,78851
direct_vs_group_psychosomatic,wollte,107,39,146,1.2129,0.4946,0.7183,1.2824,25.7536,direct,88221,78851
direct_vs_group_psychosomatic,okay,20,0,20,0.2267,0.0,0.2267,5.1956,25.5432,direct,88221,78851
direct_vs_group_psychosomatic,kaum,4,30,34,0.0453,0.3805,-0.3351,-2.9228,25.5302,group,88221,78851
direct_vs_group_psychosomatic,L,0,17,17,0.0,0.2156,-0.2156,-5.2913,25.5294,group,88221,78851
direct_vs_group_psychosomatic,brachte,0,17,17,0.0,0.2156,-0.2156,-5.2913,25.5294,group,88221,78851
direct_vs_group_psychosomatic,Angst,16,53,69,0.1814,0.6722,-0.4908,-1.8591,25.2933,group,88221,78851
direct_vs_group_psychosomatic,starke,5,32,37,0.0567,0.4058,-0.3492,-2.7249,25.1347,group,88221,78851
direct_vs_group_psychosomatic,Schmerz,1,21,22,0.0113,0.2663,-0.255,-4.0033,24.6776,group,88221,78851
direct_vs_group_psychosomatic,1,145,219,364,1.6436,2.7774,-1.1338,-0.7552,24.6051,group,88221,78851
direct_vs_group_psychosomatic,verlassen,2,24,26,0.0227,0.3044,-0.2817,-3.4548,24.494,group,88221,78851
direct_vs_group_psychosomatic,sag,19,0,19,0.2154,0.0,0.2154,5.1234,24.266,direct,88221,78851
direct_vs_group_psychosomatic,Alles,28,2,30,0.3174,0.0254,0.292,3.349,24.0681,direct,88221,78851
direct_vs_group_psychosomatic,Hashtag_Schmerzedukation,0,16,16,0.0,0.2029,-0.2029,-5.2064,24.0277,group,88221,78851
direct_vs_group_psychosomatic,LTX,0,16,16,0.0,0.2029,-0.2029,-5.2064,24.0277,group,88221,78851
direct_vs_group_psychosomatic,Tac,0,16,16,0.0,0.2029,-0.2029,-5.2064,24.0277,group,88221,78851
direct_vs_group_psychosomatic,vergessen,42,7,49,0.4761,0.0888,0.3873,2.3405,23.9614,direct,88221,78851
direct_vs_group_psychosomatic,Kalium,5,31,36,0.0567,0.3931,-0.3365,-2.6798,23.9276,group,88221,78851
direct_vs_group_psychosomatic,ah,31,3,34,0.3514,0.038,0.3133,3.0079,23.8035,direct,88221,78851
direct_vs_group_psychosomatic,Stimmung,9,39,48,0.102,0.4946,-0.3926,-2.2178,23.7344,group,88221,78851
