comparison,item,direct_count,group_count,combined_count,direct_per_1000_tokens,group_per_1000_tokens,difference_direct_minus_group_per_1000,log_ratio_direct_vs_group,log_likelihood_g2,dominant_modality,direct_tokens_denominator,group_tokens_denominator
direct_vs_group_nonadjacent,gelbe,15,45,60,0.17,0.5172,-0.3472,-1.5737,16.1178,group,88221,87002
direct_vs_group_nonadjacent,geschrieben,35,9,44,0.3967,0.1034,0.2933,1.8817,16.053,direct,88221,87002
direct_vs_group_nonadjacent,Karte,17,48,65,0.1927,0.5517,-0.359,-1.4907,15.8378,group,88221,87002
direct_vs_group_nonadjacent,Sonntag,8,32,40,0.0907,0.3678,-0.2771,-1.955,15.7555,group,88221,87002
direct_vs_group_nonadjacent,kriegt,8,32,40,0.0907,0.3678,-0.2771,-1.955,15.7555,group,88221,87002
direct_vs_group_nonadjacent,Phosphat,6,28,34,0.068,0.3218,-0.2538,-2.1525,15.7538,group,88221,87002
direct_vs_group_nonadjacent,Namen,16,1,17,0.1814,0.0115,0.1699,3.4394,15.7527,direct,88221,87002
direct_vs_group_nonadjacent,freigegeben,16,1,17,0.1814,0.0115,0.1699,3.4394,15.7527,direct,88221,87002
direct_vs_group_nonadjacent,fehlt,19,2,21,0.2154,0.023,0.1924,2.9434,15.668,direct,88221,87002
direct_vs_group_nonadjacent,inkl,19,2,21,0.2154,0.023,0.1924,2.9434,15.668,direct,88221,87002
direct_vs_group_nonadjacent,a,44,88,132,0.4987,1.0115,-0.5127,-1.0119,15.5697,group,88221,87002
direct_vs_group_nonadjacent,komme,40,12,52,0.4534,0.1379,0.3155,1.6759,15.519,direct,88221,87002
direct_vs_group_nonadjacent,Grenzen,3,21,24,0.034,0.2414,-0.2074,-2.639,15.4377,group,88221,87002
direct_vs_group_nonadjacent,einlassen,3,21,24,0.034,0.2414,-0.2074,-2.639,15.4377,group,88221,87002
direct_vs_group_nonadjacent,Hashtag_Übergabe,0,11,11,0.0,0.1264,-0.1264,-4.5436,15.4028,group,88221,87002
direct_vs_group_nonadjacent,Selbstvertrauen,0,11,11,0.0,0.1264,-0.1264,-4.5436,15.4028,group,88221,87002
direct_vs_group_nonadjacent,Ton,0,11,11,0.0,0.1264,-0.1264,-4.5436,15.4028,group,88221,87002
direct_vs_group_nonadjacent,Werke,0,11,11,0.0,0.1264,-0.1264,-4.5436,15.4028,group,88221,87002
direct_vs_group_nonadjacent,absprachefähig,0,11,11,0.0,0.1264,-0.1264,-4.5436,15.4028,group,88221,87002
direct_vs_group_nonadjacent,gemischte,0,11,11,0.0,0.1264,-0.1264,-4.5436,15.4028,group,88221,87002
direct_vs_group_nonadjacent,teilgenommen,0,11,11,0.0,0.1264,-0.1264,-4.5436,15.4028,group,88221,87002
direct_vs_group_nonadjacent,zuerst,0,11,11,0.0,0.1264,-0.1264,-4.5436,15.4028,group,88221,87002
direct_vs_group_nonadjacent,wurde,74,128,202,0.8388,1.4712,-0.6324,-0.8065,15.3738,group,88221,87002
direct_vs_group_nonadjacent,Ok,55,21,76,0.6234,0.2414,0.3821,1.3481,15.2941,direct,88221,87002
direct_vs_group_nonadjacent,finde,45,15,60,0.5101,0.1724,0.3377,1.5335,15.2829,direct,88221,87002
direct_vs_group_nonadjacent,Download,11,0,11,0.1247,0.0,0.1247,4.5035,15.0967,direct,88221,87002
direct_vs_group_nonadjacent,Rufst,11,0,11,0.1247,0.0,0.1247,4.5035,15.0967,direct,88221,87002
direct_vs_group_nonadjacent,off,11,0,11,0.1247,0.0,0.1247,4.5035,15.0967,direct,88221,87002
direct_vs_group_nonadjacent,gesehen,82,39,121,0.9295,0.4483,0.4812,1.0425,15.0276,direct,88221,87002
direct_vs_group_nonadjacent,denn,48,17,65,0.5441,0.1954,0.3487,1.4506,14.9752,direct,88221,87002
direct_vs_group_nonadjacent,Insgesamt,2,18,20,0.0227,0.2069,-0.1842,-2.9076,14.9462,group,88221,87002
direct_vs_group_nonadjacent,bringt,2,18,20,0.0227,0.2069,-0.1842,-2.9076,14.9462,group,88221,87002
direct_vs_group_nonadjacent,drüber,21,3,24,0.238,0.0345,0.2036,2.5988,14.9368,direct,88221,87002
direct_vs_group_nonadjacent,weiß,89,44,133,1.0088,0.5057,0.5031,0.988,14.9106,direct,88221,87002
direct_vs_group_nonadjacent,Liebes,1,15,16,0.0113,0.1724,-0.1611,-3.3893,14.8949,group,88221,87002
direct_vs_group_nonadjacent,Modul,1,15,16,0.0113,0.1724,-0.1611,-3.3893,14.8949,group,88221,87002
direct_vs_group_nonadjacent,hohe,1,15,16,0.0113,0.1724,-0.1611,-3.3893,14.8949,group,88221,87002
